kind,available_on,swing_date,value,candidate_index,bars_to_confirmation,threshold,wick_excursion,close_excursion,confirmation_price_mode_used,confirmation_path,structure_label,breaks_structure,reference_confirmed_value,confluence_count,confluence_short_hits,confluence_long_hits,multi_horizon_ok,confluence_windows
high,2025-04-09 23:59:59.999000+00:00,2025-04-02 23:59:59.999000+00:00,88500.0,0,42,2396.7383720930225,6519.899999999994,5912.0,close,forced_maturity,INITIAL_HIGH,False,,4,4,0,False,"6,18,42,60"
high,2025-04-28 15:59:59.999000+00:00,2025-04-25 15:59:59.999000+00:00,95769.6,136,18,1436.544,2249.4000000000087,1996.800000000003,close,confluence,HH,True,88500.0,6,5,1,True,"6,18,42,60,180,540"
high,2025-05-15 07:59:59.999000+00:00,2025-05-12 07:59:59.999000+00:00,105863.1,236,18,1587.9465,4186.100000000006,4129.200000000012,close,confluence,HH,True,95769.6,6,5,1,True,"6,18,42,60,180,540"
high,2025-05-25 19:59:59.999000+00:00,2025-05-22 19:59:59.999000+00:00,111959.5,299,18,1715.4940476190482,5366.100000000006,4303.199999999997,close,confluence,HH,True,105863.1,7,5,2,True,"6,18,42,60,180,540,1080"
high,2025-06-16 23:59:59.999000+00:00,2025-06-09 23:59:59.999000+00:00,110653.6,408,42,1659.804,4013.5,3903.5,close,forced_maturity,LH,False,111959.5,4,4,0,False,"6,18,42,60"
high,2025-07-17 07:59:59.999000+00:00,2025-07-14 07:59:59.999000+00:00,123300.0,614,18,1849.5,5489.600000000006,5006.100000000006,close,confluence,HH,True,110653.6,9,5,4,True,"6,18,42,60,180,540,1080,1800,2190"
high,2025-08-17 03:59:59.999000+00:00,2025-08-14 03:59:59.999000+00:00,124545.6,799,18,1868.184,7424.0,6918.200000000012,close,confluence,HH,True,123300.0,9,5,4,True,"6,18,42,60,180,540,1080,1800,2190"
high,2025-09-05 03:59:59.999000+00:00,2025-08-29 03:59:59.999000+00:00,112585.7,889,42,1688.7855,2191.5,1318.800000000003,wick_override,forced_maturity,LH,False,124545.6,3,3,0,False,"6,18,42"
high,2025-09-21 03:59:59.999000+00:00,2025-09-18 03:59:59.999000+00:00,117865.9,1009,18,1767.9885,2477.899999999994,2252.0999999999913,close,confluence,HH,True,112585.7,5,5,0,False,"6,18,42,60,180"
high,2025-10-09 19:59:59.999000+00:00,2025-10-06 19:59:59.999000+00:00,126208.5,1121,18,1893.1274999999998,6635.699999999997,5310.899999999994,close,confluence,HH,True,117865.9,9,5,4,True,"6,18,42,60,180,540,1080,1800,2190"
high,2025-10-20 23:59:59.999000+00:00,2025-10-13 23:59:59.999000+00:00,115817.4,1164,42,2253.3720238095225,5462.399999999994,5347.5,close,forced_maturity,LH,False,126208.5,3,3,0,False,"6,18,42"
high,2025-11-05 11:59:59.999000+00:00,2025-10-29 11:59:59.999000+00:00,113581.7,1257,42,1743.0848214285709,12450.699999999997,11562.300000000003,close,forced_maturity,LH,False,115817.4,3,3,0,False,"6,18,42"
high,2025-11-18 03:59:59.999000+00:00,2025-11-11 03:59:59.999000+00:00,107473.7,1333,42,2008.1369047619037,17807.59999999999,16661.800000000003,close,forced_maturity,LH,False,113581.7,4,4,0,False,"6,18,42,60"
high,2025-12-16 19:59:59.999000+00:00,2025-12-09 19:59:59.999000+00:00,94555.0,1505,42,1580.3199404761901,7539.199999999997,7016.300000000003,close,forced_maturity,LH,False,107473.7,4,4,0,False,"6,18,42,60"
high,2026-01-08 23:59:59.999000+00:00,2026-01-05 23:59:59.999000+00:00,94760.3,1668,18,1421.4045,4240.400000000009,3700.5,close,confluence,HH,True,94555.0,5,5,0,False,"6,18,42,60,180"
high,2026-01-19 11:59:59.999000+00:00,2026-01-16 11:59:59.999000+00:00,95805.0,1731,18,1437.075,3170.0,2668.300000000003,close,confluence,HH,True,94760.3,2,2,0,False,"6,18"
high,2026-02-04 19:59:59.999000+00:00,2026-01-28 19:59:59.999000+00:00,90592.7,1805,42,1714.686011904762,18491.699999999997,16697.399999999994,close,forced_maturity,LH,False,95805.0,4,4,0,False,"6,18,42,60"
high,2026-02-16 03:59:59.999000+00:00,2026-02-09 03:59:59.999000+00:00,71434.9,1873,42,2089.3005952380945,3322.699999999997,3042.2999999999884,close,forced_maturity,LH,False,90592.7,4,4,0,False,"6,18,42,60"
high,2026-03-07 19:59:59.999000+00:00,2026-03-04 19:59:59.999000+00:00,74046.5,2015,18,1664.017857142858,7196.399999999994,7003.899999999994,close,confluence,HH,True,71434.9,5,5,0,False,"6,18,42,60,180"
high,2026-03-20 03:59:59.999000+00:00,2026-03-17 03:59:59.999000+00:00,75998.9,2089,18,1383.3883928571427,6197.599999999991,5302.799999999988,close,confluence,HH,True,74046.5,5,5,0,False,"6,18,42,60,180"
