window,category,symbol,direction,signal_date,entry_time,exit_time,hold_hours,entry_price,exit_price,tp_price,sl_price,tp_pct,sl_pct,exit_reason,resolution_level,pnl_pct,gross_pnl_pct,fee_drag_pct,leverage,size_multiplier,max_holding_hours,metadata
OOS4_JAN21_BREAKOUT,oos4,ETH/USDT,SHORT,2021-01-01T18:59:59.999000+00:00,2021-01-01T19:00:14.999000+00:00,2021-01-02T06:59:59.999000+00:00,12.0,725.47,735.62658,702.98043,735.62658,3.0,1.5,SL,1h,-1.5,-1.4,0.1,1.0,1.3336476652384384,72,"{""strategy"": ""squeeze_v8.2_short"", ""mom"": -0.592083, ""rsi"": 38.6, ""atr_ratio"": 0.82, ""sq_count"": 10.0, ""size_model"": ""ridge_v1"", ""cluster_side"": 2, ""cluster_total"": 2, ""size_mult"": 1.333648}"
OOS4_JAN21_BREAKOUT,oos4,ADA/USDT,SHORT,2021-01-01T18:59:59.999000+00:00,2021-01-01T19:00:14.999000+00:00,2021-01-02T10:59:59.999000+00:00,16.0,0.17468,0.16926491999999999,0.16926491999999999,0.17712552,3.0,1.5,TP,1h,3.0,3.1,0.1,1.0,1.2438297140248964,72,"{""strategy"": ""squeeze_v8.2_short"", ""mom"": -0.000226, ""rsi"": 36.0, ""atr_ratio"": 0.88, ""sq_count"": 10.0, ""size_model"": ""ridge_v1"", ""cluster_side"": 2, ""cluster_total"": 2, ""size_mult"": 1.24383}"
OOS4_JAN21_BREAKOUT,oos4,XRP/USDT,LONG,2021-01-01T20:59:59.999000+00:00,2021-01-01T21:00:14.999000+00:00,2021-01-02T00:59:59.999000+00:00,4.0,0.2372,0.2326932,0.24692519999999998,0.2326932,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.1656806398964432,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 10.18, ""rsi"": 56.21, ""atr_ratio"": 0.767, ""pullback_depth"": 0.438, ""mom_slope"": 0.000551, ""reclaim_strength"": 0.305, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 1.165681}"
OOS4_JAN21_BREAKOUT,oos4,XRP/USDT,SHORT,2021-01-02T07:59:59.999000+00:00,2021-01-02T08:00:14.999000+00:00,2021-01-02T09:00:00+00:00,1.0,0.2341,0.2268429,0.2268429,0.23737740000000002,3.0,1.5,TP,1h,3.0,3.1,0.1,1.0,0.6273191227121797,72,"{""strategy"": ""squeeze_v8.2_short"", ""mom"": -0.000193, ""rsi"": 50.3, ""atr_ratio"": 0.57, ""sq_count"": 11.0, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 0.627319}"
OOS4_JAN21_BREAKOUT,oos4,ETH/USDT,SHORT,2021-01-02T08:59:59.999000+00:00,2021-01-02T09:00:14.999000+00:00,2021-01-02T12:59:59.999000+00:00,4.0,734.65,744.9351,711.87585,744.9351,3.0,1.5,SL,1h,-1.5,-1.4,0.1,1.0,0.8787914453618576,72,"{""strategy"": ""squeeze_v8.2_short"", ""mom"": -0.086564, ""rsi"": 51.2, ""atr_ratio"": 0.78, ""sq_count"": 7.0, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 0.878791}"
OOS4_JAN21_BREAKOUT,oos4,ALGO/USDT,LONG,2021-01-03T23:59:59.999000+00:00,2021-01-04T00:00:14.999000+00:00,2021-01-04T01:00:00+00:00,1.0,0.4253,0.4427373,0.4427373,0.4172193,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,0.5461105123629227,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 27.28, ""rsi"": 56.77, ""atr_ratio"": 0.893, ""pullback_depth"": 0.582, ""mom_slope"": 0.0004, ""reclaim_strength"": 0.775, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 0.546111}"
OOS4_JAN21_BREAKOUT,oos4,XRP/USDT,SHORT,2021-01-04T20:59:59.999000+00:00,2021-01-04T21:00:14.999000+00:00,2021-01-04T22:59:59.999000+00:00,2.0,0.2301,0.2333214,0.2229669,0.2333214,3.0,1.5,SL,1h,-1.5,-1.4,0.1,1.0,0.4541600645666971,72,"{""strategy"": ""squeeze_v8.2_short"", ""mom"": -0.000411, ""rsi"": 48.9, ""atr_ratio"": 1.33, ""sq_count"": 10.0, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 0.45416}"
OOS4_JAN21_BREAKOUT,oos4,ADA/USDT,LONG,2021-01-05T06:59:59.999000+00:00,2021-01-05T07:00:14.999000+00:00,2021-01-05T08:59:59.999000+00:00,2.0,0.2192,0.22818719999999998,0.22818719999999998,0.2150352,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.020103429010936,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 26.18, ""rsi"": 56.06, ""atr_ratio"": 1.198, ""pullback_depth"": 0.932, ""mom_slope"": 0.000265, ""reclaim_strength"": 0.546, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 1.020103}"
OOS4_JAN21_BREAKOUT,oos4,LINK/USDT,LONG,2021-01-06T02:59:59.999000+00:00,2021-01-06T03:00:14.999000+00:00,2021-01-06T10:59:59.999000+00:00,8.0,14.471,15.064310999999998,15.064310999999998,14.196051,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,0.8731099151551287,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 20.25, ""rsi"": 55.67, ""atr_ratio"": 0.766, ""pullback_depth"": 0.373, ""mom_slope"": 0.033427, ""reclaim_strength"": 0.311, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 0.87311}"
OOS4_JAN21_BREAKOUT,oos4,XRP/USDT,SHORT,2021-01-06T04:59:59.999000+00:00,2021-01-06T05:00:14.999000+00:00,2021-01-06T11:59:59.999000+00:00,7.0,0.2283,0.2314962,0.2212227,0.2314962,3.0,1.5,SL,1h,-1.5,-1.4,0.1,1.0,0.674838612939039,72,"{""strategy"": ""squeeze_v8.2_short"", ""mom"": -0.00052, ""rsi"": 49.6, ""atr_ratio"": 0.79, ""sq_count"": 26.0, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 2, ""size_mult"": 0.674839}"
